Rk,Player,NationFixed,Nation,Pos,Squad,AgeFixed,Age,Born,MatchesPlayed,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
168,Remo Freuler,,CHE,MF,Nott'ham Forest,30,30-291,1992,16,14,1281,14.2,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9
169,Cody Gakpo,,NLD,FW,Liverpool,23,23-269,1999,2,2,171,1.9,0,0,0,0,0,0,0,1,1,0,1
170,Conor Gallagher,,GBR,MFFW,Chelsea,22,22-359,2000,18,9,739,8.2,1,1,1,0,0,5,1,0.9,0.9,1.8,2.7
171,Idrissa Gana Gueye,,SEN,MF,Everton,33,33-127,1989,15,14,1131,12.6,0,1,0,0,0,3,0,0,0,0.7,0.7
172,Alejandro Garnacho,,ESP,FW,Manchester Utd,18,18-214,2004,9,2,242,2.7,1,2,1,0,0,2,0,0.9,0.9,1,1.9
173,James Garner,,GBR,MF,Everton,21,21-324,2001,6,0,142,1.6,0,0,0,0,0,1,0,0.1,0.1,0,0.1
174,David de Gea,,ESP,GK,Manchester Utd,32,32-085,1990,20,20,1800,20,0,0,0,0,0,0,0,0,0,0.1,0.1
175,Joe Gelhardt,,GBR,FW,Leeds United,20,20-272,2002,15,1,212,2.4,0,2,0,0,0,1,0,0.8,0.8,0.5,1.3
176,Saman Ghoddos,,IRN,MFFW,Brentford,29,29-147,1993,9,0,90,1,0,0,0,0,0,0,0,0,0,0.2,0.3
177,Morgan Gibbs-White,,GBR,FWMF,Wolves,23,23-004,2000,2,2,180,2,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8
178,Morgan Gibbs-White,,GBR,FWMF,Nott'ham Forest,23,23-004,2000,17,16,1376,15.3,2,4,2,0,0,1,0,3,3,4.5,7.5
179,Billy Gilmour,,GBR,MF,Brighton,21,21-234,2001,6,1,107,1.2,0,0,0,0,0,1,0,0,0,0,0
180,Degnand Gnonto,,ITA,FWMF,Leeds United,19,19-087,2003,8,6,537,6,1,1,1,0,0,2,0,1.1,1.1,0.8,1.9
181,Ben Godfrey,,GBR,DF,Everton,25,25-016,1998,4,3,211,2.3,0,0,0,0,0,0,0,1.1,1.1,0.1,1.2
182,Toti Gomes,,PRT,DF,Wolves,24,24-015,1999,7,3,310,3.4,0,0,0,0,0,2,0,0,0,0.1,0.1
183,Joe Gomez,,GBR,DF,Liverpool,25,25-253,1997,16,10,1016,11.3,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3
184,Sergio Gómez,,ESP,DFMF,Manchester City,22,22-149,2000,5,0,111,1.2,0,1,0,0,0,0,0,0.1,0.1,0.4,0.5
185,Anthony Gordon,,GBR,FW,Everton,21,21-341,2001,16,12,1095,12.2,3,0,3,0,0,6,0,3.3,3.3,0.6,3.9
186,Demarai Gray,,GBR,FWMF,Everton,26,26-217,1996,20,19,1679,18.7,3,1,2,1,1,1,0,3.7,2.9,2.7,5.6
187,Jack Grealish,,GBR,FW,Manchester City,27,27-143,1995,14,10,950,10.6,2,3,2,0,0,0,0,2.6,2.6,3.3,5.9
188,Sam Greenwood,,GBR,MFFW,Leeds United,21,21-005,2002,10,2,309,3.4,1,2,1,0,0,1,0,0.6,0.6,0.8,1.5
189,Pascal Groß,,DEU,MFDF,Brighton,31,31-230,1991,19,19,1641,18.2,6,3,6,0,0,2,0,3.3,3.3,5,8.3
190,Vicente Guaita,,ESP,GK,Crystal Palace,36,36-021,1987,20,20,1800,20,0,0,0,0,0,1,0,0,0,0,0
191,Gonçalo Guedes,,PRT,FWMF,Wolves,26,26-063,1996,13,8,707,7.9,1,1,1,0,0,1,0,1.2,1.2,0.5,1.7
192,Marc Guéhi,,GBR,DF,Crystal Palace,22,22-202,2000,19,19,1710,19,0,0,0,0,0,7,0,0.4,0.4,0.2,0.6
193,Bruno Guimarães,,BRA,MF,Newcastle Utd,25,25-076,1997,17,17,1397,15.5,3,3,3,0,0,3,0,0.9,0.9,1.8,2.7
194,İlkay Gündoğan,,DEU,MF,Manchester City,32,32-099,1990,17,14,1245,13.8,2,2,2,0,0,0,0,3.3,3.3,2.5,5.8
195,Darko Gyabi,,GBR,FW,Leeds United,18,18-347,2004,1,0,8,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0.1
196,Erling Haaland,,NOR,FW,Manchester City,22,22-194,2000,19,18,1546,17.2,25,3,21,4,4,3,0,16.9,13.7,2.9,16.7
197,Lewis Hall,,GBR,DFMF,Chelsea,18,18-145,2004,5,4,304,3.4,0,0,0,0,0,1,0,0.5,0.5,0.3,0.7
198,Luke Harris,,GBR,MFFW,Fulham,17,17-303,2005,3,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0
199,Jack Harrison,,GBR,FWMF,Leeds United,26,26-072,1996,17,15,1184,13.2,1,4,1,0,0,2,0,2.4,2.4,2.5,4.9
200,Kai Havertz,,DEU,FWMF,Chelsea,23,23-234,1999,19,17,1411,15.7,5,1,5,0,0,3,0,5.4,5.4,1.4,6.8
201,Jan Paul van Hecke,,NLD,DF,Brighton,22,22-237,2000,2,1,80,0.9,0,0,0,0,0,0,0,0.6,0.6,0,0.6
202,Hwang Hee-chan,,KOR,FW,Wolves,27,27-005,1996,16,8,649,7.2,0,1,0,0,0,1,0,0.4,0.4,0.9,1.3
203,Dean Henderson,,GBR,GK,Nott'ham Forest,25,25-325,1997,18,18,1620,18,0,0,0,0,0,2,0,0,0,0,0
204,Jordan Henderson,,GBR,MF,Liverpool,32,32-228,1990,16,10,893,9.9,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7
205,Wayne Hennessey,,GBR,GK,Nott'ham Forest,36,36-007,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0
206,Rico Henry,,GBR,DF,Brentford,25,25-207,1997,19,19,1705,18.9,0,1,0,0,0,0,0,0.5,0.5,1.1,1.7
207,Son Heung-min,,KOR,MFFW,Tottenham,30,30-207,1992,19,18,1555,17.3,4,3,4,0,0,1,0,4.9,4.9,3,7.9
208,Aaron Hickey,,GBR,DF,Brentford,20,20-235,2002,9,8,679,7.5,0,0,0,0,0,4,0,0.1,0.1,0,0.1
209,Joseph Hodge,,IRL,MF,Wolves,20,20-139,2002,5,1,169,1.9,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2
210,Rob Holding,,GBR,DF,Arsenal,27,27-133,1995,6,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0
211,Mason Holgate,,GBR,DF,Everton,26,26-101,1996,4,3,320,3.6,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6
212,Will Hughes,,GBR,MF,Crystal Palace,27,27-289,1995,14,1,250,2.8,0,0,0,0,0,3,0,0.1,0.1,0,0.2
213,Omari Hutchinson,,GBR,FW,Chelsea,19,19-093,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0
214,Pierre Højbjerg,,DNK,MF,Tottenham,27,27-179,1995,20,20,1781,19.8,4,2,4,0,0,2,0,1.4,1.4,1.8,3.3
215,Kelechi Iheanacho,,NGA,FWMF,Leicester City,26,26-120,1996,14,1,301,3.3,1,1,1,0,0,0,0,1.6,1.6,0.7,2.2
216,Danny Ings,,GBR,FW,West Ham,30,30-192,1992,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0.2,0.2
217,Danny Ings,,GBR,FW,Aston Villa,30,30-192,1992,18,8,824,9.2,6,0,4,2,2,3,0,5.3,3.8,1.2,5
218,Alexander Isak,,SWE,FW,Newcastle Utd,23,23-132,1999,5,3,284,3.2,3,0,2,1,1,0,0,3.2,2.4,0.5,2.9
219,Alex Iwobi,,NGA,MF,Everton,26,26-273,1996,20,20,1782,19.8,1,5,1,0,0,2,0,1.2,1.2,2.7,4
220,Daniel James,,GBR,FW,Leeds United,25,25-082,1997,4,2,198,2.2,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6
221,Daniel James,,GBR,FW,Fulham,25,25-082,1997,12,3,360,4,1,0,1,0,0,0,0,1.3,1.3,0.3,1.6
