Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
276,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-008,1996,14,12,954,10.6,0,0,0,0,0,1,0,0.8,0.8,0.9,1.8,e97fd090
277,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-093,1997,20,16,1505,16.7,1,2,1,0,0,2,0,1.8,1.8,2.5,4.3,a2b105e0
278,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-194,1994,2,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,b2856bc0
279,Douglas Luiz,br BRA,MF,Aston Villa,24-267,1998,19,15,1344,14.9,2,4,2,0,0,2,1,0.9,0.9,2.3,3.2,6f7d826d
280,Lyanco,br BRA,DF,Southampton,25-364,1997,12,7,680,7.6,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,b5bf1770
281,Alexis Mac Allister,ar ARG,MF,Brighton,24-038,1998,17,16,1457,16.2,5,0,2,3,3,5,0,3.8,1.5,1.1,2.5,83d074ff
282,James Maddison,eng ENG,MFFW,Leicester City,26-069,1996,14,13,1120,12.4,7,4,7,0,0,5,0,2.6,2.6,2.9,5.5,ee38d9c5
283,Harry Maguire,eng ENG,DF,Manchester Utd,29-332,1993,8,4,387,4.3,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,d8931174
284,Riyad Mahrez,dz ALG,FW,Manchester City,31-344,1991,15,9,840,9.3,4,3,4,0,0,2,0,3.2,3.2,3.2,6.3,892d5bb1
285,Ainsley Maitland-Niles,eng ENG,MFDF,Southampton,25-155,1997,10,5,544,6.0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,e3a5814e
286,Tyrell Malacia,nl NED,DF,Manchester Utd,23-167,1999,12,9,836,9.3,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,6b6c793c
287,Orel Mangala,be BEL,MF,Nott'ham Forest,24-319,1998,12,8,593,6.6,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,a572e291
288,Javier Manquillo,es ESP,DF,Newcastle Utd,28-271,1994,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,758dd7f0
289,Sekou Mara,fr FRA,FWMF,Southampton,20-185,2002,14,3,327,3.6,0,1,0,0,0,0,0,0.8,0.8,0.5,1.3,3544641e
290,Solly March,eng ENG,FWDF,Brighton,28-195,1994,19,19,1629,18.1,4,4,4,0,0,2,0,4.3,4.3,2.6,6.9,bb5fbd2b
291,Emiliano Marcondes,dk DEN,MF,Bournemouth,27-328,1995,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4d960fc3
292,Marquinhos,br BRA,MF,Arsenal,19-299,2003,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59878425
293,Anthony Martial,fr FRA,FW,Manchester Utd,27-057,1995,9,6,458,5.1,3,2,2,1,1,0,0,3.2,2.4,0.9,3.3,8b788c01
294,Martinelli,br BRA,FW,Arsenal,21-227,2001,19,19,1607,17.9,7,2,7,0,0,2,0,4.3,4.3,4.8,9.1,48a5a5d6
295,Emiliano Martínez,ar ARG,GK,Aston Villa,30-151,1992,18,18,1564,17.4,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,7956236f
296,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-013,1998,18,16,1388,15.4,1,0,1,0,0,4,0,0.2,0.2,0.1,0.2,bac46a10
297,Pape Matar Sarr,sn SEN,MF,Tottenham,20-139,2002,3,1,111,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,feb5d972
298,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-217,1997,16,3,433,4.8,1,0,1,0,0,2,0,1.6,1.6,0.6,2.2,50e6dc35
299,Joël Matip,cm CMR,DF,Liverpool,31-176,1991,8,6,552,6.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,b217ef29
300,Neal Maupay,fr FRA,FW,Everton,26-170,1996,13,7,683,7.6,1,0,1,0,0,2,0,2.1,2.1,0.5,2.5,4bcf39f6
301,Kevin Mbabu,ch SUI,DFFW,Fulham,27-287,1995,6,1,144,1.6,0,1,0,0,0,1,0,0.0,0.0,0.4,0.4,493924a7
302,Bryan Mbeumo,cm CMR,FW,Brentford,23-177,1999,20,20,1506,16.7,4,1,3,1,1,4,0,4.7,3.9,2.0,5.9,6afaebf2
303,John McGinn,sct SCO,MF,Aston Villa,28-105,1994,17,14,1223,13.6,0,1,0,0,0,4,0,1.2,1.2,1.3,2.5,90f91999
304,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-080,1996,16,15,1366,15.2,0,0,0,0,0,4,0,0.1,0.1,0.8,0.9,4e5a4cbc
305,Dwight McNeil,eng ENG,FWDF,Everton,23-070,1999,18,10,891,9.9,2,1,2,0,0,2,0,0.7,0.7,1.3,2.0,fc15fb84
